lat,lng,lift,cell,stack_finish,leach_start,leach_end,leach_days,tons_per_block,ounces_per_block,rmax
65.01889795918368,-147.34897959183672,5,21,2021-01-15,2021-01-18,2021-05-18,120 days,6682.809523809524,80.50221016666667,0.7340073451655621
65.01597959183674,-147.36122448979592,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01624489795918,-147.36285714285714,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01624489795918,-147.36204081632653,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01624489795918,-147.36122448979592,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01624489795918,-147.3604081632653,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01651020408164,-147.36367346938775,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01651020408164,-147.36285714285714,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01651020408164,-147.36204081632653,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01651020408164,-147.36122448979592,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01651020408164,-147.3604081632653,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01651020408164,-147.3595918367347,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.36530612244897,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.36448979591836,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.36367346938775,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.36285714285714,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.36204081632653,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.36122448979592,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.3604081632653,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.3595918367347,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01677551020408,-147.35877551020408,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01704081632653,-147.3669387755102,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01704081632653,-147.36612244897958,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
65.01704081632653,-147.36530612244897,4,17,2020-08-28,2020-08-31,2020-12-29,120 days,2837.385542168675,38.80980471084337,0.7387905108207091
